tournament: 100, best_winning_streak: 3, mean_duration: 663.62, stdev: 112.71244651767613
tournament: 200, best_winning_streak: 6, mean_duration: 686.89, stdev: 130.92256451811508
tournament: 300, best_winning_streak: 7, mean_duration: 698.44, stdev: 120.85820783049863
tournament: 400, best_winning_streak: 10, mean_duration: 671.51, stdev: 127.09811131562891
tournament: 500, best_winning_streak: 11, mean_duration: 679.45, stdev: 122.63069558638247
tournament: 600, best_winning_streak: 11, mean_duration: 668.34, stdev: 124.84039570587719
tournament: 700, best_winning_streak: 11, mean_duration: 660.15, stdev: 136.36116565943547
tournament: 800, best_winning_streak: 11, mean_duration: 684.63, stdev: 118.49461211380036
tournament: 900, best_winning_streak: 12, mean_duration: 682.03, stdev: 103.55881951818493
tournament: 1000, best_winning_streak: 14, mean_duration: 692.92, stdev: 121.14476299039922
tournament: 1100, best_winning_streak: 15, mean_duration: 664.75, stdev: 121.79436563322623
tournament: 1200, best_winning_streak: 16, mean_duration: 694.97, stdev: 112.09821185014505
tournament: 1300, best_winning_streak: 18, mean_duration: 686.58, stdev: 118.65809538333235
tournament: 1400, best_winning_streak: 19, mean_duration: 682.14, stdev: 120.9968611163116
tournament: 1500, best_winning_streak: 19, mean_duration: 674.24, stdev: 120.69035752702035
tournament: 1600, best_winning_streak: 21, mean_duration: 685.67, stdev: 116.96204982813869
tournament: 1700, best_winning_streak: 22, mean_duration: 679.8, stdev: 110.61148222494806
tournament: 1800, best_winning_streak: 23, mean_duration: 701.48, stdev: 122.15027466199165
tournament: 1900, best_winning_streak: 24, mean_duration: 683.01, stdev: 116.99508493949648
tournament: 2000, best_winning_streak: 24, mean_duration: 675.36, stdev: 112.98889502955589
tournament: 2100, best_winning_streak: 26, mean_duration: 677.84, stdev: 119.81015983630103
tournament: 2200, best_winning_streak: 25, mean_duration: 666.42, stdev: 109.59089195731549
tournament: 2300, best_winning_streak: 26, mean_duration: 670.57, stdev: 124.1797290220912
tournament: 2400, best_winning_streak: 29, mean_duration: 687.23, stdev: 108.80320353739589
tournament: 2500, best_winning_streak: 29, mean_duration: 657.23, stdev: 117.19597732004287
